Animal ID;Name;DateTime;Date of Birth;Outcome Type;Outcome Subtype;Animal Type;Sex upon Outcome;Age upon Outcome;Breed;Color
A808826;Coco;11/18/2019 06:34:00 PM;08/14/2019;Adoption;;Dog;Neutered Male;3 months;Collie Smooth Mix;Tricolor
A823793;;10/23/2020 12:48:00 PM;08/04/2020;Transfer;Partner;Cat;Spayed Female;2 months;Domestic Shorthair;Orange Tabby
A805358;Ashanti;09/27/2019 05:44:00 PM;07/10/2019;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair;Calico
A819251;;08/04/2020 02:42:00 PM;04/28/2020;Adoption;Foster;Cat;Spayed Female;3 months;Domestic Longhair Mix;Torbie
A791765;;06/22/2019 08:38:00 AM;03/30/2019;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Orange Tabby
A794072;;05/03/2019 05:18:00 PM;05/02/2019;Transfer;Partner;Cat;Unknown;1 day;Domestic Shorthair Mix;Black
A818535;;06/11/2020 12:00:00 AM;06/10/2008;Transfer;Partner;Cat;Intact Male;12 years;Domestic Shorthair;Black/White
A824403;;10/15/2020 04:37:00 PM;10/13/2019;Transfer;Snr;Cat;Spayed Female;1 year;Domestic Shorthair;Orange Tabby
A799938;;08/13/2019 12:57:00 PM;06/14/2019;Transfer;Partner;Cat;Intact Male;1 month;Domestic Shorthair;Blue/White
A800416;*Pup;08/06/2019 01:41:00 PM;01/20/2019;Adoption;;Dog;Neutered Male;6 months;Labrador Retriever/Pit Bull;Red/White
A817618;Pepper;06/24/2020 10:19:00 AM;04/13/2020;Adoption;Foster;Cat;Spayed Female;2 months;Domestic Shorthair;Blue/White
A785924;*Peaches;01/29/2019 12:06:00 PM;12/12/2017;Transfer;Partner;Dog;Intact Female;1 year;Pit Bull Mix;Fawn/White
A793848;Deanna;05/02/2019 06:02:00 PM;05/01/2017;Return to Owner;;Dog;Intact Female;2 years;Chow Chow Mix;Brown
A800873;;08/06/2019 07:58:00 AM;05/28/2019;Transfer;Partner;Cat;Spayed Female;2 months;Domestic Shorthair;White/Brown Tabby
A806621;*Boo;10/22/2019 03:17:00 PM;07/13/2019;Transfer;Partner;Cat;Intact Male;3 months;Domestic Shorthair Mix;Black
A796408;*Elmer;06/08/2019 04:37:00 PM;04/22/2019;Died;In Kennel;Cat;Intact Male;1 month;Domestic Shorthair;Blue
A803247;*Moxie;09/02/2019 05:12:00 PM;08/29/2010;Transfer;Partner;Dog;Intact Female;9 years;Chihuahua Shorthair;Black/White
A717665;Rocky;07/03/2019 08:31:00 AM;12/12/2007;Adoption;Foster;Dog;Neutered Male;11 years;Boxer/Chinese Sharpei;Brown Brindle/Black
A817585;;07/25/2020 10:19:00 AM;04/13/2020;Adoption;Foster;Cat;Spayed Female;3 months;Domestic Shorthair;Orange Tabby
A800666;*Odin;08/04/2019 01:56:00 PM;06/15/2019;Transfer;Partner;Cat;Intact Male;1 month;Domestic Shorthair;Orange Tabby/White
A786029;Mia;04/03/2019 02:05:00 PM;09/30/2018;Adoption;Foster;Dog;Intact Female;6 months;Labrador Retriever/Great Pyrenees;White/Tan
A807718;Baby;11/03/2019 04:25:00 PM;10/28/2018;Adoption;;Dog;Neutered Male;1 year;Chihuahua Shorthair Mix;Tan
A789417;;02/27/2019 12:28:00 PM;04/21/2018;Transfer;Partner;Dog;Intact Male;10 months;Labrador Retriever Mix;Tan/White
A801453;*Creampuff;08/11/2019 03:27:00 PM;07/13/2019;Transfer;Partner;Cat;Intact Female;4 weeks;Domestic Shorthair;Brown Tabby/White
A817478;;05/17/2020 09:40:00 AM;05/16/2018;Euthanasia;Rabies Risk;Other;Unknown;2 years;Bat;Brown/Brown
A710402;Nevaeh;01/05/2020 01:52:00 PM;07/22/2015;Transfer;Partner;Cat;Spayed Female;4 years;Domestic Shorthair Mix;Calico
A812415;*Amelia;06/09/2020 02:47:00 PM;02/22/2019;Adoption;Foster;Dog;Spayed Female;1 year;Labrador Retriever;Brown Brindle
A809217;;11/26/2019 04:15:00 PM;05/21/2019;Adoption;;Dog;Spayed Female;6 months;Chihuahua Shorthair;Cream/White
A797709;Bandit;06/23/2019 05:50:00 PM;05/02/2019;Adoption;;Cat;Intact Female;1 month;Domestic Shorthair;Brown Tabby/White
A817442;;05/20/2020 12:00:00 AM;05/16/2017;Disposal;;Cat;Unknown;3 years;Domestic Shorthair;Black
A825520;;12/19/2020 10:04:00 AM;10/19/2020;Adoption;Foster;Cat;Spayed Female;1 month;Domestic Shorthair Mix;Calico
A789814;Cookie;03/03/2019 05:15:00 PM;02/28/2017;Adoption;;Dog;Spayed Female;2 years;German Shepherd/Labrador Retriever;Black
A787936;Jackson;01/23/2019 05:29:00 PM;01/01/2013;Return to Owner;;Dog;Neutered Male;6 years;Schnauzer Giant/Standard Poodle;Gray/Black
A814854;;03/11/2020 05:26:00 PM;03/07/2015;Transfer;Partner;Dog;Neutered Male;5 years;English Bulldog;White/Brown
A759836;Duque;11/15/2019 05:07:00 PM;07/28/2017;Return to Owner;;Dog;Neutered Male;2 years;Pit Bull Mix;White
A799013;;07/08/2019 07:44:00 PM;07/03/2016;Transfer;Snr;Cat;Unknown;3 years;Domestic Shorthair;Brown Tabby/White
A792677;Zeus;04/15/2019 01:03:00 PM;04/13/2017;Transfer;Partner;Other;Intact Male;2 years;Guinea Pig;Tricolor
A798477;;07/01/2019 06:15:00 PM;04/26/2019;Adoption;;Dog;Neutered Male;2 months;Australian Shepherd/Great Pyrenees;Black/White
A816680;Stitch;06/02/2020 07:02:00 AM;04/24/2010;Adoption;Foster;Dog;Spayed Female;10 years;Australian Kelpie Mix;Brown Brindle
A798758;Popo;06/30/2019 03:08:00 PM;06/30/2017;Return to Owner;;Cat;Neutered Male;2 years;Domestic Shorthair;White/Gray
A797222;Maya;06/12/2019 04:21:00 PM;03/12/2019;Adoption;;Dog;Spayed Female;3 months;Yorkshire Terrier/Toy Poodle;Black/White
A802011;;08/19/2019 06:46:00 PM;07/25/2019;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair;Black Tabby
A809493;Theo;11/26/2019 10:35:00 AM;11/25/2017;Euthanasia;Suffering;Other;Unknown;2 years;Chinchilla;Gray
A794974;;05/20/2019 06:23:00 PM;05/14/2018;Adoption;;Dog;Neutered Male;1 year;Jack Russell Terrier;Tricolor/Brown
A804523;*Maggie 168G;10/09/2019 06:05:00 PM;09/08/2019;Transfer;Partner;Cat;Intact Female;4 weeks;Domestic Shorthair;Brown Tabby
A788302;Zeus;04/05/2019 06:36:00 PM;01/30/2019;Adoption;Foster;Dog;Neutered Male;2 months;Labrador Retriever Mix;Tan/White
A821808;;08/21/2020 11:30:00 AM;08/19/2018;Transfer;Partner;Cat;Intact Female;2 years;Domestic Shorthair;Tortie
A818339;Scurvy;08/14/2020 12:00:00 AM;06/05/2017;Adoption;;Cat;Neutered Male;3 years;Domestic Shorthair;Brown Tabby/White
A790471;;03/11/2019 04:12:00 PM;03/11/2016;Transfer;Partner;Cat;Neutered Male;3 years;Domestic Medium Hair;Blue/White
A800418;Walter;07/24/2019 04:15:00 PM;07/20/2017;Adoption;;Dog;Neutered Male;2 years;Jack Russell Terrier;White/Tricolor
A813630;Kobe;02/18/2020 05:32:00 PM;12/14/2019;Adoption;;Dog;Spayed Female;2 months;Dachshund/Chihuahua Shorthair;Tan/White
A789369;Precious;04/09/2019 02:15:00 PM;03/03/2009;Transfer;Partner;Cat;Spayed Female;10 years;Domestic Shorthair Mix;Brown Tabby/White
A796246;;06/01/2019 03:16:00 PM;03/30/2019;Transfer;Partner;Cat;Intact Male;2 months;Domestic Shorthair;Brown Tabby
A819058;;06/25/2020 02:46:00 PM;06/21/2015;Transfer;Partner;Dog;Intact Female;5 years;Yorkshire Terrier/Chihuahua Shorthair;Cream
A809173;;11/24/2019 10:20:00 AM;11/20/2018;Transfer;Snr;Cat;Intact Male;1 year;Domestic Shorthair;Brown Tabby
A824740;;12/18/2020 07:55:00 AM;09/15/2020;Adoption;Foster;Cat;Spayed Female;3 months;Domestic Shorthair Mix;Orange Tabby/White
A788866;;02/15/2019 12:02:00 PM;12/06/2019;Adoption;;Dog;Neutered Male;0 years;German Shepherd/Catahoula;Black Brindle
A809376;Pippa;11/30/2019 04:18:00 PM;11/23/2018;Adoption;;Dog;Spayed Female;1 year;American Pit Bull Terrier Mix;White/Black
A787270;*Monty;01/28/2019 03:39:00 PM;06/04/2018;Transfer;Partner;Cat;Intact Male;7 months;Domestic Shorthair Mix;Black Tabby/White
A652862;Ace Hunter;09/27/2019 06:44:00 AM;03/01/2013;Adoption;Foster;Dog;Neutered Male;6 years;Pointer Mix;White/Red Tick
A802238;;08/19/2019 11:59:00 AM;08/15/2017;Transfer;Snr;Cat;Intact Male;2 years;Domestic Shorthair;Cream Tabby/White
A819091;Rooster;06/23/2020 11:25:00 AM;06/22/2019;Transfer;Partner;Dog;Intact Male;1 year;Chihuahua Shorthair;Fawn
A791462;Zeus;04/04/2019 06:26:00 PM;03/26/2017;Adoption;;Dog;Neutered Male;2 years;Boxer;Tan/White
A787654;Pepper;03/11/2019 12:00:00 AM;01/17/2017;Transfer;Partner;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Brown Tabby/White
A799677;Glory;07/17/2019 01:43:00 PM;12/24/2018;Transfer;Partner;Dog;Intact Female;6 months;Welsh Terrier;Black
A794895;;05/17/2019 04:03:00 PM;02/26/2019;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair;Gray Tabby/White
A813315;;02/11/2020 05:48:00 PM;02/07/2019;Adoption;;Dog;Spayed Female;1 year;Miniature Pinscher;Black/Tan
A791983;*Spice;07/09/2019 07:09:00 PM;04/01/2019;Adoption;;Cat;Neutered Male;3 months;Domestic Shorthair Mix;Orange Tabby
A796159;Bunny;06/28/2019 12:16:00 PM;05/29/2009;Transfer;Partner;Dog;Spayed Female;10 years;Labrador Retriever/German Shepherd;Black/Tan
A792559;*Giulia;06/29/2019 05:22:00 PM;04/10/2019;Adoption;;Cat;Spayed Female;2 months;Domestic Medium Hair Mix;Orange Tabby/White
A803143;Aria;09/01/2019 05:00:00 PM;06/28/2019;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair;Black
A801121;Precious;08/03/2019 05:09:00 PM;01/31/2018;Transfer;Partner;Cat;Intact Female;1 year;Domestic Shorthair;Torbie
A823108;;09/17/2020 10:22:00 AM;09/16/2019;Euthanasia;Rabies Risk;Other;Unknown;1 year;Bat;Brown
A811089;;01/02/2020 10:49:00 AM;12/27/2017;Transfer;Snr;Cat;Intact Female;2 years;Domestic Shorthair;Torbie
A796721;;06/04/2019 04:58:00 PM;09/04/2018;Euthanasia;Rabies Risk;Other;Unknown;8 months;Bat;Black/Brown
A815925;Stitch;04/09/2020 12:04:00 PM;03/30/2009;Return to Owner;;Dog;Intact Male;11 years;Chihuahua Shorthair;Tan
A794195;Bentley;05/08/2019 05:43:00 PM;02/04/2019;Adoption;;Cat;Neutered Male;3 months;Siamese Mix;Flame Point
A803849;*Patch;09/14/2019 01:29:00 PM;07/07/2019;Adoption;;Dog;Neutered Male;2 months;Dalmatian;White
A796658;;07/13/2019 06:46:00 AM;06/01/2019;Transfer;Partner;Dog;Intact Female;1 month;American Staffordshire Terrier Mix;Sable/White
A824893;Blaze;10/23/2020 11:11:00 AM;02/22/2020;Return to Owner;;Cat;Neutered Male;8 months;Domestic Shorthair;Orange Tabby/White
A800970;;08/03/2019 12:00:00 AM;05/18/2019;Adoption;;Dog;Neutered Male;2 months;Norfolk Terrier;Tan
A823663;*Fig;10/06/2020 11:40:00 AM;01/28/2020;Transfer;Partner;Dog;Intact Female;8 months;Australian Cattle Dog Mix;Fawn
A813613;*Kaapo;03/14/2020 12:10:00 PM;02/14/2018;Adoption;;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Blue
A808560;*Granny Smith;11/13/2019 11:54:00 AM;09/25/2019;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair;Brown Tabby
A786762;*Pumba;01/13/2019 05:41:00 PM;01/01/2017;Adoption;;Dog;Neutered Male;2 years;American Pit Bull Terrier Mix;Brown
A808227;*Romano;12/03/2019 02:26:00 PM;05/06/2018;Transfer;Partner;Dog;Intact Male;1 year;Dalmatian Mix;White/Black
A802576;*Ramen;08/27/2019 11:23:00 AM;02/20/2018;Transfer;Partner;Dog;Intact Male;1 year;Pit Bull;Blue/White
A795782;Maya;05/29/2019 03:24:00 PM;05/24/2018;Return to Owner;;Dog;Intact Female;1 year;Chihuahua Shorthair;Cream
A809787;Banjo;02/07/2020 06:15:00 PM;02/01/2019;Adoption;Foster;Dog;Neutered Male;1 year;Australian Cattle Dog;Red/White
A794469;;05/22/2019 04:28:00 PM;04/02/2019;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair;Brown Tabby
A798956;Lola;08/12/2019 04:01:00 PM;05/02/2019;Adoption;;Cat;Spayed Female;3 months;Domestic Shorthair Mix;Black
A821281;Buster;08/17/2020 12:00:00 AM;08/07/2012;Transfer;Partner;Dog;Neutered Male;8 years;Basset Hound/Beagle;Tricolor
A813028;;02/04/2020 11:07:00 AM;02/02/2018;Euthanasia;Rabies Risk;Other;Unknown;2 years;Bat;Black/Brown
A808988;;11/26/2019 05:33:00 PM;09/09/2019;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair;Brown Tabby
A803123;Gizmo;09/01/2019 03:33:00 PM;06/12/2019;Adoption;;Cat;Intact Male;2 months;Domestic Shorthair;Black/White
A799660;403 Grams;07/10/2019 07:29:00 PM;07/07/2019;Transfer;Partner;Dog;Intact Male;3 days;Labrador Retriever Mix;Brown
A819044;*Oliver;08/27/2020 10:43:00 AM;04/28/2020;Adoption;Foster;Cat;Neutered Male;3 months;Domestic Shorthair;Orange Tabby/White
A819299;*Turkey Lurkey;08/07/2020 02:36:00 PM;05/25/2020;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Black
A807768;;11/06/2019 06:27:00 PM;10/29/2012;Adoption;;Dog;Neutered Male;7 years;Great Pyrenees;White
A768216;Sweetie;01/30/2019 02:47:00 PM;03/15/2016;Transfer;Partner;Dog;Spayed Female;2 years;Pug Mix;Fawn
A823747;;10/03/2020 05:35:00 PM;09/29/2018;Euthanasia;Suffering;Cat;Intact Female;2 years;Domestic Shorthair;Calico
A808996;;11/21/2019 03:06:00 PM;11/17/2017;Transfer;Snr;Cat;Intact Female;2 years;Domestic Medium Hair;Brown Tabby/White
A804098;*Rosita;10/07/2019 05:45:00 PM;04/10/2019;Adoption;;Cat;Spayed Female;5 months;Domestic Shorthair;Black/White
A805630;Starr;09/30/2019 08:10:00 AM;09/29/2009;Euthanasia;At Vet;Dog;Intact Female;10 years;Chihuahua Shorthair;White/Black
A791858;;04/04/2019 01:34:00 PM;04/02/2013;Transfer;Partner;Cat;Intact Female;6 years;Domestic Shorthair Mix;Brown Tabby
A814026;;02/27/2020 04:52:00 PM;02/23/2018;Transfer;Snr;Cat;Intact Male;2 years;Domestic Shorthair;Black
A791254;Taco;03/28/2019 01:41:00 PM;02/02/2019;Adoption;;Cat;Intact Male;1 month;Domestic Shorthair Mix;Blue Tabby/White
A608012;Bella;12/11/2019 06:12:00 AM;11/23/2011;Adoption;Foster;Dog;Spayed Female;8 years;Cardigan Welsh Corgi/Labrador Retriever;White/Tan
A802474;156 Grams;08/18/2019 06:00:00 PM;08/09/2019;Transfer;Partner;Cat;Intact Female;1 weeks;Domestic Shorthair Mix;Tortie
A800888;;08/01/2019 03:27:00 PM;07/03/2019;Transfer;Partner;Dog;Intact Female;4 weeks;Cavalier Span;Black/White
A796517;Chiquis;06/08/2019 12:21:00 PM;06/02/2017;Adoption;;Dog;Spayed Female;2 years;Chihuahua Shorthair Mix;Brown/White
A796856;;06/12/2019 01:31:00 PM;01/06/2019;Transfer;Partner;Dog;Intact Male;5 months;German Shepherd;Brown
A824845;;10/27/2020 06:28:00 PM;10/22/2019;Adoption;;Cat;Spayed Female;1 year;Domestic Shorthair;Blue
A800965;Marley;08/17/2019 04:40:00 PM;07/29/2016;Adoption;;Dog;Spayed Female;3 years;Blue Lacy/Beagle;Blue/White
A789409;Oliver;03/06/2019 06:27:00 PM;02/21/2018;Adoption;;Dog;Neutered Male;1 year;Siberian Husky Mix;Black/White
