;index;Animal ID;Name;DateTime;Date of Birth;Outcome Type;Outcome Subtype;Animal Type;Sex upon Outcome;Age upon Outcome;Breed;Color
19;64;A795325;;05/21/2019 05:10:00 PM;03/19/2019;Adoption;;Dog;Spayed Female;2 months;Labrador Retriever;Black
20;71;A791702;Cooper;04/04/2019 04:13:00 PM;01/20/2019;Adoption;;Dog;Neutered Male;2 months;Labrador Retriever Mix;Brown/White
21;76;A809230;*Moo;11/24/2019 04:36:00 PM;11/21/2015;Adoption;;Dog;Neutered Male;4 years;Siberian Husky;Gray/White
22;81;A790321;Prince;03/10/2019 05:37:00 PM;03/10/2010;Return to Owner;;Dog;Intact Male;9 years;Miniature Schnauzer Mix;Black
23;83;A799580;*Roger Rabbit;08/19/2019 07:09:00 PM;05/10/2019;Adoption;;Cat;Neutered Male;3 months;Domestic Shorthair;Blue Tabby/White
24;91;A807106;Wendell;07/23/2020 05:46:00 PM;03/20/2019;Adoption;;Dog;Neutered Male;1 year;Standard Poodle;Silver
25;92;A785591;Luke;03/09/2019 11:49:00 AM;09/11/2017;Adoption;;Dog;Neutered Male;1 year;Labrador Retriever Mix;Brown/White
26;97;A808862;Big Papi;11/18/2019 12:23:00 PM;11/14/2018;Transfer;Partner;Dog;Intact Male;1 year;Miniature Poodle Mix;Apricot
27;100;A819227;Agou;06/30/2020 06:52:00 PM;06/24/2018;Rto-Adopt;;Dog;Spayed Female;2 years;Great Pyrenees;White
28;102;A805622;Sadie;12/05/2019 12:02:00 PM;03/29/2018;Adoption;;Dog;Spayed Female;1 year;German Shepherd Mix;Black/Tan
29;105;A824550;;10/16/2020 02:11:00 PM;09/16/2020;Transfer;Partner;Cat;Intact Male;4 weeks;Domestic Shorthair;Blue
30;107;A791899;;04/05/2019 07:36:00 PM;04/02/2018;Transfer;Snr;Cat;Intact Female;1 year;Siamese Mix;Tortie Point
31;111;A808447;Elle;12/04/2019 02:45:00 PM;05/08/2019;Adoption;;Dog;Intact Female;6 months;Labrador Retriever;Black
32;119;A767252;Amy;03/04/2019 07:15:00 PM;01/26/2010;Return to Owner;;Dog;Spayed Female;9 years;Chihuahua Shorthair Mix;Tricolor/White
33;125;A805553;;10/01/2019 05:17:00 PM;05/28/2019;Adoption;;Dog;Spayed Female;4 months;Beagle/Dachshund;Black/Tricolor
34;126;A810834;Amigo;01/14/2020 01:54:00 PM;12/21/2017;Transfer;Partner;Dog;Neutered Male;2 years;Pit Bull/Australian Cattle Dog;Chocolate/Tan
35;127;A789482;Mclaren;02/26/2019 04:21:00 PM;12/18/2018;Adoption;;Dog;Neutered Male;2 months;Boxer/Australian Cattle Dog;Brown Brindle/White
36;129;A801634;Simba;10/15/2019 06:21:00 PM;04/06/2019;Adoption;;Cat;Neutered Male;6 months;Domestic Shorthair Mix;White/Brown Tabby
37;130;A783891;Elizabeth T;01/16/2019 11:28:00 AM;11/08/2015;Adoption;Foster;Dog;Spayed Female;3 years;Border Terrier;Black/Tan
38;140;A798215;;06/24/2019 06:06:00 PM;06/23/2017;Euthanasia;Rabies Risk;Other;Unknown;2 years;Raccoon;Brown/Black
39;148;A796941;*Carrot;08/03/2019 02:40:00 PM;04/27/2019;Adoption;Foster;Cat;Neutered Male;3 months;Domestic Shorthair;Cream Tabby
40;152;A792484;Taros;05/31/2020 01:00:00 PM;04/11/2018;Adoption;;Dog;Neutered Male;2 years;German Shepherd Mix;Cream
41;154;A784970;Ziggy;03/16/2019 11:31:00 AM;05/24/2018;Return to Owner;;Dog;Neutered Male;9 months;Pit Bull Mix;White/Black
42;162;A803510;Rocky;09/03/2019 11:56:00 AM;03/02/2018;Transfer;Partner;Dog;Intact Male;1 year;Yorkshire Terrier Mix;Black/Tan
43;167;A788493;;02/07/2019 01:12:00 PM;04/03/2018;Transfer;Partner;Dog;Neutered Male;10 months;Standard Poodle/Labrador Retriever;Cream
44;178;A797068;Chumley;06/15/2019 05:25:00 PM;06/08/2017;Adoption;;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Brown Tabby
45;182;A788671;Lulu;07/06/2019 06:12:00 PM;10/06/2017;Adoption;;Dog;Spayed Female;1 year;German Shepherd Mix;Red
46;194;A791446;Leopold;03/31/2019 01:58:00 PM;03/28/2016;Return to Owner;;Dog;Neutered Male;3 years;English Bulldog;White/Brown
47;197;A790939;;03/19/2019 01:34:00 PM;03/18/2019;Transfer;Partner;Cat;Unknown;1 day;Domestic Shorthair Mix;Black
48;198;A790255;Pantera;03/12/2019 05:37:00 PM;03/07/2017;Rto-Adopt;;Dog;Spayed Female;2 years;Miniature Schnauzer Mix;Black
49;199;A798379;;07/13/2019 12:36:00 PM;06/25/2018;Transfer;Partner;Dog;Intact Male;1 year;Chihuahua Shorthair/Rat Terrier;Tricolor
50;206;A817406;Janice;05/27/2020 12:06:00 PM;05/15/2016;Return to Owner;;Dog;Spayed Female;4 years;Labrador Retriever/Pit Bull;Tan/White
51;209;A789594;Morena;02/26/2019 07:33:00 PM;02/24/2015;Adoption;;Dog;Spayed Female;4 years;Chihuahua Longhair Mix;Brown/Black
52;216;A825041;;10/27/2020 09:48:00 AM;10/26/2019;Disposal;;Other;Unknown;1 year;Bat;Brown
53;217;A566568;Duck;02/23/2019 11:33:00 AM;02/12/2009;Adoption;;Dog;Neutered Male;10 years;Harrier Mix;Brown/Black
54;221;A827274;*Fizzle;12/30/2020 03:24:00 PM;09/02/2020;Transfer;Partner;Cat;Spayed Female;3 months;Domestic Shorthair Mix;Blue Tabby
55;222;A799811;Angel;10/22/2019 08:21:00 AM;07/12/2012;Adoption;Foster;Dog;Spayed Female;7 years;Chihuahua Shorthair;Cream
56;226;A826220;;11/22/2020 03:20:00 PM;10/29/2020;Transfer;Partner;Cat;Intact Female;3 weeks;Domestic Shorthair;Brown Tabby
57;233;A793783;Spinner;07/13/2019 02:54:00 PM;04/20/2019;Adoption;Foster;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Orange Tabby
58;234;A810108;;12/09/2019 05:29:00 PM;09/23/2019;Adoption;;Dog;Spayed Female;2 months;Labrador Retriever;Tricolor
59;236;A799586;;07/14/2019 05:27:00 PM;07/10/2017;Transfer;Snr;Cat;Unknown;2 years;Domestic Shorthair;Cream Tabby/White
60;239;A823496;*Rigatoni;11/03/2020 09:15:00 AM;08/17/2020;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Medium Hair;Black/White
61;243;A820871;;07/31/2020 11:36:00 AM;05/31/2020;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair;Brown Tabby
62;244;A803732;*Ginny;09/14/2019 12:03:00 PM;05/11/2019;Adoption;;Dog;Spayed Female;4 months;Boxer;Brown/White
63;249;A819006;Little Girl;08/11/2020 05:05:00 PM;03/19/2018;Adoption;;Cat;Spayed Female;2 years;Domestic Longhair;White
64;252;A810461;Chance;12/23/2019 06:25:00 PM;12/14/2017;Adoption;;Dog;Neutered Male;2 years;Pit Bull;Black
65;254;A787336;*Genevieve;03/25/2019 06:19:00 PM;01/11/2017;Adoption;Foster;Dog;Spayed Female;2 years;Pit Bull Mix;Blue/White
66;256;A816306;*Jelly Bean;06/17/2020 01:23:00 PM;04/12/2020;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair;Black
67;257;A787658;*Fergus;03/11/2019 12:00:00 AM;01/17/2017;Transfer;Partner;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Black
68;259;A800445;Mini;07/22/2019 06:47:00 PM;06/05/2013;Return to Owner;;Dog;Spayed Female;6 years;Chihuahua Shorthair Mix;Tan/White
69;261;A749133;*Cowboy;08/01/2020 08:12:00 AM;04/05/2017;Adoption;Foster;Cat;Spayed Female;3 years;Domestic Shorthair Mix;White/Black
70;269;A795431;*Maggie;05/29/2019 02:25:00 PM;05/20/2011;Transfer;Partner;Dog;Intact Female;8 years;Wire Hair Fox Terrier Mix;Tricolor
71;270;A795465;;06/01/2019 10:03:00 PM;03/20/2019;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair;Black
72;272;A808052;*Oreo;12/03/2019 04:46:00 PM;08/19/2019;Adoption;;Cat;Spayed Female;3 months;Domestic Shorthair;Black/White
73;273;A795140;Roo;05/23/2019 05:39:00 PM;05/16/2017;Adoption;;Dog;Neutered Male;2 years;Australian Cattle Dog Mix;Blue Tick
74;274;A823494;*Macaroni;11/03/2020 09:13:00 AM;08/17/2020;Adoption;Foster;Cat;Spayed Female;2 months;Domestic Shorthair;Brown Tabby/White
75;278;A787340;;01/11/2019 02:53:00 PM;01/11/2018;Euthanasia;Rabies Risk;Other;Unknown;1 year;Bat Mix;Brown
76;281;A810115;;12/09/2019 06:02:00 PM;09/24/2019;Adoption;;Dog;Neutered Male;2 months;Labrador Retriever;Tricolor
77;282;A811845;L.S;01/22/2020 01:53:00 PM;01/10/2005;Rto-Adopt;;Cat;Spayed Female;15 years;Domestic Shorthair Mix;Black
78;286;A796292;Duchess;06/10/2019 06:59:00 PM;05/31/2014;Return to Owner;;Dog;Spayed Female;5 years;Chihuahua Shorthair;Brown
79;289;A799980;Chikis;07/23/2019 05:24:00 PM;05/15/2013;Transfer;Partner;Dog;Spayed Female;6 years;Chihuahua Shorthair Mix;Black/White
80;294;A790785;Bingo;05/26/2020 01:50:00 PM;03/16/2018;Adoption;Foster;Dog;Neutered Male;2 years;German Shepherd Mix;Black/Brown
81;298;A812889;Tutti;02/01/2020 01:23:00 PM;10/15/2019;Adoption;;Cat;Intact Female;3 months;Domestic Longhair;Black/White
82;301;A794634;Diamond;07/11/2019 04:09:00 PM;04/10/2019;Adoption;;Cat;Spayed Female;3 months;Siamese;Lynx Point
83;304;A793307;;04/24/2019 04:24:00 PM;01/23/2019;Adoption;;Cat;Spayed Female;2 months;Siamese Mix;Lynx Point/White
84;305;A805212;Turtle;10/22/2019 05:19:00 PM;11/24/2018;Adoption;;Cat;Spayed Female;10 months;Domestic Shorthair;Tortie
85;310;A801848;*Kit;09/26/2019 07:07:00 PM;07/10/2019;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair;Orange Tabby
86;313;A818385;;06/08/2020 03:29:00 PM;03/17/2020;Return to Owner;;Cat;Intact Male;2 months;Domestic Shorthair;Blue Smoke
87;314;A800657;;08/03/2019 08:36:00 AM;07/22/2019;Transfer;Partner;Dog;Unknown;1 weeks;Labrador Retriever;Tricolor
88;318;A793667;Lucas;05/03/2019 11:34:00 AM;04/28/2017;Return to Owner;;Dog;Neutered Male;2 years;Miniature Poodle Mix;White
89;319;A813293;;02/13/2020 05:24:00 PM;02/13/2014;Adoption;;Dog;Spayed Female;6 years;Beagle;White/Brown
90;331;A785672;Simba;02/09/2019 06:20:00 PM;02/07/2018;Adoption;;Dog;Neutered Male;1 year;Boxer Mix;Brown/White
91;334;A813099;;02/08/2020 10:58:00 AM;02/04/2019;Transfer;Snr;Cat;Intact Female;1 year;Domestic Medium Hair;Lynx Point
92;336;A817291;*Sunny;08/08/2020 08:43:00 AM;04/19/2020;Adoption;Foster;Cat;Spayed Female;3 months;Domestic Shorthair;Brown Tabby
93;341;A808826;Coco;11/18/2019 06:34:00 PM;08/14/2019;Adoption;;Dog;Neutered Male;3 months;Collie Smooth Mix;Tricolor
94;344;A823793;;10/23/2020 12:48:00 PM;08/04/2020;Transfer;Partner;Cat;Spayed Female;2 months;Domestic Shorthair;Orange Tabby
95;347;A805358;Ashanti;09/27/2019 05:44:00 PM;07/10/2019;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair;Calico
96;350;A819251;;08/04/2020 02:42:00 PM;04/28/2020;Adoption;Foster;Cat;Spayed Female;3 months;Domestic Longhair Mix;Torbie
97;353;A791765;;06/22/2019 08:38:00 AM;03/30/2019;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Orange Tabby
98;355;A794072;;05/03/2019 05:18:00 PM;05/02/2019;Transfer;Partner;Cat;Unknown;1 day;Domestic Shorthair Mix;Black
99;356;A818535;;06/11/2020 12:00:00 AM;06/10/2008;Transfer;Partner;Cat;Intact Male;12 years;Domestic Shorthair;Black/White
100;358;A790748;Buzz;05/08/2020 10:43:00 AM;03/15/2018;Adoption;Foster;Dog;Neutered Male;2 years;Labrador Retriever Mix;Black
101;359;A824403;;10/15/2020 04:37:00 PM;10/13/2019;Transfer;Snr;Cat;Spayed Female;1 year;Domestic Shorthair;Orange Tabby
102;362;A799938;;08/13/2019 12:57:00 PM;06/14/2019;Transfer;Partner;Cat;Intact Male;1 month;Domestic Shorthair;Blue/White
103;371;A800416;*Pup;08/06/2019 01:41:00 PM;01/20/2019;Adoption;;Dog;Neutered Male;6 months;Labrador Retriever/Pit Bull;Red/White
104;373;A694967;Jewels;08/09/2019 12:12:00 PM;01/07/2011;Return to Owner;;Dog;Spayed Female;8 years;Siberian Husky Mix;Sable/Cream
105;375;A817618;Pepper;06/24/2020 10:19:00 AM;04/13/2020;Adoption;Foster;Cat;Spayed Female;2 months;Domestic Shorthair;Blue/White
106;387;A785924;*Peaches;01/29/2019 12:06:00 PM;12/12/2017;Transfer;Partner;Dog;Intact Female;1 year;Pit Bull Mix;Fawn/White
107;391;A793848;Deanna;05/02/2019 06:02:00 PM;05/01/2017;Return to Owner;;Dog;Intact Female;2 years;Chow Chow Mix;Brown
108;395;A800873;;08/06/2019 07:58:00 AM;05/28/2019;Transfer;Partner;Cat;Spayed Female;2 months;Domestic Shorthair;White/Brown Tabby
109;402;A803559;*Lima Bean;01/02/2020 12:13:00 PM;09/03/2011;Adoption;Foster;Dog;Spayed Female;8 years;Labrador Retriever/Border Collie;Black/White
110;407;A790482;Blue;12/10/2019 12:07:00 PM;03/11/2017;Return to Owner;;Dog;Neutered Male;2 years;Pit Bull Mix;Gray/White
111;409;A806621;*Boo;10/22/2019 03:17:00 PM;07/13/2019;Transfer;Partner;Cat;Intact Male;3 months;Domestic Shorthair Mix;Black
112;412;A786751;;01/25/2019 01:03:00 PM;11/01/2018;Adoption;;Dog;Neutered Male;2 months;German Shepherd;White
113;416;A796408;*Elmer;06/08/2019 04:37:00 PM;04/22/2019;Died;In Kennel;Cat;Intact Male;1 month;Domestic Shorthair;Blue
114;417;A803247;*Moxie;09/02/2019 05:12:00 PM;08/29/2010;Transfer;Partner;Dog;Intact Female;9 years;Chihuahua Shorthair;Black/White
115;422;A717665;Rocky;07/03/2019 08:31:00 AM;12/12/2007;Adoption;Foster;Dog;Neutered Male;11 years;Boxer/Chinese Sharpei;Brown Brindle/Black
116;457;A817585;;07/25/2020 10:19:00 AM;04/13/2020;Adoption;Foster;Cat;Spayed Female;3 months;Domestic Shorthair;Orange Tabby
117;458;A796788;Coco;06/06/2019 06:26:00 PM;01/05/2019;Return to Owner;;Dog;Intact Female;4 months;Treeing Walker Coonhound/Great Dane;White/Brown Brindle
118;459;A800666;*Odin;08/04/2019 01:56:00 PM;06/15/2019;Transfer;Partner;Cat;Intact Male;1 month;Domestic Shorthair;Orange Tabby/White
119;462;A786029;Mia;04/03/2019 02:05:00 PM;09/30/2018;Adoption;Foster;Dog;Intact Female;6 months;Labrador Retriever/Great Pyrenees;White/Tan
120;466;A807718;Baby;11/03/2019 04:25:00 PM;10/28/2018;Adoption;;Dog;Neutered Male;1 year;Chihuahua Shorthair Mix;Tan
121;467;A789417;;02/27/2019 12:28:00 PM;04/21/2018;Transfer;Partner;Dog;Intact Male;10 months;Labrador Retriever Mix;Tan/White
122;469;A801453;*Creampuff;08/11/2019 03:27:00 PM;07/13/2019;Transfer;Partner;Cat;Intact Female;4 weeks;Domestic Shorthair;Brown Tabby/White
123;472;A817478;;05/17/2020 09:40:00 AM;05/16/2018;Euthanasia;Rabies Risk;Other;Unknown;2 years;Bat;Brown/Brown
124;476;A710402;Nevaeh;01/05/2020 01:52:00 PM;07/22/2015;Transfer;Partner;Cat;Spayed Female;4 years;Domestic Shorthair Mix;Calico
125;483;A812415;*Amelia;06/09/2020 02:47:00 PM;02/22/2019;Adoption;Foster;Dog;Spayed Female;1 year;Labrador Retriever;Brown Brindle
126;484;A809217;;11/26/2019 04:15:00 PM;05/21/2019;Adoption;;Dog;Spayed Female;6 months;Chihuahua Shorthair;Cream/White
127;485;A797709;Bandit;06/23/2019 05:50:00 PM;05/02/2019;Adoption;;Cat;Intact Female;1 month;Domestic Shorthair;Brown Tabby/White
128;486;A817442;;05/20/2020 12:00:00 AM;05/16/2017;Disposal;;Cat;Unknown;3 years;Domestic Shorthair;Black
129;492;A825520;;12/19/2020 10:04:00 AM;10/19/2020;Adoption;Foster;Cat;Spayed Female;1 month;Domestic Shorthair Mix;Calico
130;493;A789814;Cookie;03/03/2019 05:15:00 PM;02/28/2017;Adoption;;Dog;Spayed Female;2 years;German Shepherd/Labrador Retriever;Black
131;497;A787936;Jackson;01/23/2019 05:29:00 PM;01/01/2013;Return to Owner;;Dog;Neutered Male;6 years;Schnauzer Giant/Standard Poodle;Gray/Black
132;503;A776941;*Jojo;10/06/2019 02:57:00 PM;09/21/2017;Adoption;;Dog;Neutered Male;2 years;Pit Bull Mix;White/Brown
133;504;A805512;Pickle;02/18/2020 02:36:00 PM;05/28/2019;Adoption;;Dog;Neutered Male;8 months;Border Collie Mix;Gray/White
134;505;A814854;;03/11/2020 05:26:00 PM;03/07/2015;Transfer;Partner;Dog;Neutered Male;5 years;English Bulldog;White/Brown
135;511;A759836;Duque;11/15/2019 05:07:00 PM;07/28/2017;Return to Owner;;Dog;Neutered Male;2 years;Pit Bull Mix;White
136;512;A799013;;07/08/2019 07:44:00 PM;07/03/2016;Transfer;Snr;Cat;Unknown;3 years;Domestic Shorthair;Brown Tabby/White
137;530;A792677;Zeus;04/15/2019 01:03:00 PM;04/13/2017;Transfer;Partner;Other;Intact Male;2 years;Guinea Pig;Tricolor
138;536;A798477;;07/01/2019 06:15:00 PM;04/26/2019;Adoption;;Dog;Neutered Male;2 months;Australian Shepherd/Great Pyrenees;Black/White
139;540;A813055;Rocko;10/16/2020 09:52:00 AM;02/03/2018;Adoption;Foster;Dog;Neutered Male;2 years;German Shepherd Mix;Tan/Black
140;542;A816680;Stitch;06/02/2020 07:02:00 AM;04/24/2010;Adoption;Foster;Dog;Spayed Female;10 years;Australian Kelpie Mix;Brown Brindle
141;547;A799907;Chester;07/14/2019 04:20:00 PM;11/14/2018;Return to Owner;;Dog;Intact Male;7 months;Siberian Husky;Red/Tan
142;548;A798758;Popo;06/30/2019 03:08:00 PM;06/30/2017;Return to Owner;;Cat;Neutered Male;2 years;Domestic Shorthair;White/Gray
143;554;A797222;Maya;06/12/2019 04:21:00 PM;03/12/2019;Adoption;;Dog;Spayed Female;3 months;Yorkshire Terrier/Toy Poodle;Black/White
144;561;A802011;;08/19/2019 06:46:00 PM;07/25/2019;Transfer;Partner;Cat;Intact Male;3 weeks;Domestic Shorthair;Black Tabby
145;563;A809493;Theo;11/26/2019 10:35:00 AM;11/25/2017;Euthanasia;Suffering;Other;Unknown;2 years;Chinchilla;Gray
146;564;A794974;;05/20/2019 06:23:00 PM;05/14/2018;Adoption;;Dog;Neutered Male;1 year;Jack Russell Terrier;Tricolor/Brown
147;565;A804523;*Maggie 168G;10/09/2019 06:05:00 PM;09/08/2019;Transfer;Partner;Cat;Intact Female;4 weeks;Domestic Shorthair;Brown Tabby
148;567;A788302;Zeus;04/05/2019 06:36:00 PM;01/30/2019;Adoption;Foster;Dog;Neutered Male;2 months;Labrador Retriever Mix;Tan/White
149;570;A821808;;08/21/2020 11:30:00 AM;08/19/2018;Transfer;Partner;Cat;Intact Female;2 years;Domestic Shorthair;Tortie
150;572;A818339;Scurvy;08/14/2020 12:00:00 AM;06/05/2017;Adoption;;Cat;Neutered Male;3 years;Domestic Shorthair;Brown Tabby/White
151;573;A790471;;03/11/2019 04:12:00 PM;03/11/2016;Transfer;Partner;Cat;Neutered Male;3 years;Domestic Medium Hair;Blue/White
152;580;A800418;Walter;07/24/2019 04:15:00 PM;07/20/2017;Adoption;;Dog;Neutered Male;2 years;Jack Russell Terrier;White/Tricolor
153;585;A813630;Kobe;02/18/2020 05:32:00 PM;12/14/2019;Adoption;;Dog;Spayed Female;2 months;Dachshund/Chihuahua Shorthair;Tan/White
154;586;A789369;Precious;04/09/2019 02:15:00 PM;03/03/2009;Transfer;Partner;Cat;Spayed Female;10 years;Domestic Shorthair Mix;Brown Tabby/White
155;588;A796246;;06/01/2019 03:16:00 PM;03/30/2019;Transfer;Partner;Cat;Intact Male;2 months;Domestic Shorthair;Brown Tabby
156;589;A819058;;06/25/2020 02:46:00 PM;06/21/2015;Transfer;Partner;Dog;Intact Female;5 years;Yorkshire Terrier/Chihuahua Shorthair;Cream
157;591;A809173;;11/24/2019 10:20:00 AM;11/20/2018;Transfer;Snr;Cat;Intact Male;1 year;Domestic Shorthair;Brown Tabby
158;595;A824740;;12/18/2020 07:55:00 AM;09/15/2020;Adoption;Foster;Cat;Spayed Female;3 months;Domestic Shorthair Mix;Orange Tabby/White
159;598;A780901;*Padfoot;06/23/2019 07:01:00 PM;09/21/2016;Adoption;;Dog;Neutered Male;2 years;Pit Bull Mix;Blue/White
160;600;A788866;;02/15/2019 12:02:00 PM;12/06/2019;Adoption;;Dog;Neutered Male;0 years;German Shepherd/Catahoula;Black Brindle
161;610;A784785;Beau Beau;03/15/2019 02:30:00 PM;11/20/2016;Return to Owner;;Dog;Intact Male;2 years;Australian Kelpie Mix;Black
162;612;A809376;Pippa;11/30/2019 04:18:00 PM;11/23/2018;Adoption;;Dog;Spayed Female;1 year;American Pit Bull Terrier Mix;White/Black
163;614;A787270;*Monty;01/28/2019 03:39:00 PM;06/04/2018;Transfer;Partner;Cat;Intact Male;7 months;Domestic Shorthair Mix;Black Tabby/White
164;619;A814266;Lily;09/25/2020 01:55:00 PM;12/08/2019;Return to Owner;;Dog;Spayed Female;9 months;Chihuahua Shorthair/Dachshund;Brown/Tan
165;623;A652862;Ace Hunter;09/27/2019 06:44:00 AM;03/01/2013;Adoption;Foster;Dog;Neutered Male;6 years;Pointer Mix;White/Red Tick
166;624;A802238;;08/19/2019 11:59:00 AM;08/15/2017;Transfer;Snr;Cat;Intact Male;2 years;Domestic Shorthair;Cream Tabby/White
167;630;A819091;Rooster;06/23/2020 11:25:00 AM;06/22/2019;Transfer;Partner;Dog;Intact Male;1 year;Chihuahua Shorthair;Fawn
168;633;A791462;Zeus;04/04/2019 06:26:00 PM;03/26/2017;Adoption;;Dog;Neutered Male;2 years;Boxer;Tan/White
169;634;A787654;Pepper;03/11/2019 12:00:00 AM;01/17/2017;Transfer;Partner;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Brown Tabby/White
170;644;A813202;Kai;02/15/2020 04:28:00 PM;08/06/2017;Adoption;;Dog;Neutered Male;2 years;German Shepherd/Alaskan Husky;White/Tan
171;645;A799677;Glory;07/17/2019 01:43:00 PM;12/24/2018;Transfer;Partner;Dog;Intact Female;6 months;Welsh Terrier;Black
172;648;A794895;;05/17/2019 04:03:00 PM;02/26/2019;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair;Gray Tabby/White
173;649;A813315;;02/11/2020 05:48:00 PM;02/07/2019;Adoption;;Dog;Spayed Female;1 year;Miniature Pinscher;Black/Tan
174;652;A791983;*Spice;07/09/2019 07:09:00 PM;04/01/2019;Adoption;;Cat;Neutered Male;3 months;Domestic Shorthair Mix;Orange Tabby
175;655;A796159;Bunny;06/28/2019 12:16:00 PM;05/29/2009;Transfer;Partner;Dog;Spayed Female;10 years;Labrador Retriever/German Shepherd;Black/Tan
176;657;A792559;*Giulia;06/29/2019 05:22:00 PM;04/10/2019;Adoption;;Cat;Spayed Female;2 months;Domestic Medium Hair Mix;Orange Tabby/White
177;661;A803143;Aria;09/01/2019 05:00:00 PM;06/28/2019;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair;Black
178;667;A801121;Precious;08/03/2019 05:09:00 PM;01/31/2018;Transfer;Partner;Cat;Intact Female;1 year;Domestic Shorthair;Torbie
179;672;A823108;;09/17/2020 10:22:00 AM;09/16/2019;Euthanasia;Rabies Risk;Other;Unknown;1 year;Bat;Brown
180;678;A811089;;01/02/2020 10:49:00 AM;12/27/2017;Transfer;Snr;Cat;Intact Female;2 years;Domestic Shorthair;Torbie
181;682;A796721;;06/04/2019 04:58:00 PM;09/04/2018;Euthanasia;Rabies Risk;Other;Unknown;8 months;Bat;Black/Brown
182;684;A815925;Stitch;04/09/2020 12:04:00 PM;03/30/2009;Return to Owner;;Dog;Intact Male;11 years;Chihuahua Shorthair;Tan
183;685;A794195;Bentley;05/08/2019 05:43:00 PM;02/04/2019;Adoption;;Cat;Neutered Male;3 months;Siamese Mix;Flame Point
